subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_low,0.001,0.07857081758888193,0.0786633933930294,0.0011768600381238039
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_low,1e-06,0.07857081758888193,0.07857091016468608,1.1782452812819007e-06
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_low,1e-09,0.07857081758888193,0.07857081768145772,1.1782465422216188e-09
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_low,1e-12,0.07857081758888193,0.07857081758897451,1.1782838120666495e-12
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_high,0.001,0.1765404441128539,0.17662653850657004,0.00048743747368927554
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_high,1e-06,0.1766264524121763,0.17662653850657004,4.874374737412897e-07
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_high,1e-09,0.17662653842047568,0.17662653850657004,4.874372480843362e-10
C_clamp_transition,INV_X1,A->ZN,cell_rise,slew_high,1e-12,0.17662653850648394,0.17662653850657004,4.874567337822695e-13
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_low,0.001,0.026773334225549485,0.027169196508097865,0.014570260936144828
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_low,1e-06,0.026773334225549485,0.026773730087832036,1.478547371817582e-05
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_low,1e-09,0.026773334225549485,0.02677333462141177,1.4785692164340519e-08
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_low,1e-12,0.026773334225549485,0.026773334225945345,1.47856230542753e-11
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_high,0.001,0.2016751818956608,0.20181801804834165,0.000707747276789894
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_high,1e-06,0.20181787521218897,0.20181801804834165,7.077472768025466e-07
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_high,1e-09,0.20181801790550546,0.20181801804834165,7.077474484371642e-10
C_clamp_transition,INV_X1,A->ZN,cell_rise,load_high,1e-12,0.2018180180481988,0.20181801804834165,7.078552701841673e-13
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_low,0.001,0.040096190570143256,0.04018093558083335,0.002109085054020393
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_low,1e-06,0.040096190570143256,0.040096275315153945,2.1135382282607696e-06
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_low,1e-09,0.040096190570143256,0.040096190654888265,2.1135426641963377e-09
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_low,1e-12,0.040096190570143256,0.040096190570228,2.113535227242838e-12
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_high,0.001,0.09427437656353328,0.0943020410645941,0.0002933605757468724
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_high,1e-06,0.09430201340009303,0.0943020410645941,2.93360575790727e-07
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_high,1e-09,0.0943020410369296,0.0943020410645941,2.9336051883857814e-10
C_clamp_transition,INV_X1,A->ZN,cell_fall,slew_high,1e-12,0.09430204106456642,0.0943020410645941,2.934433717063167e-13
